taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Pseudacanthicus fordii	1	?	2	?	1	0	3
Hypostomus nudiventris	1	?	2	?	1	0	3
Pterocryptis torrentis	1	?	1	?	1	0	3
Austrolebias nigrofasciatus	1	?	1	?	1	0	3
Saurenchelys halimyon	0	0	0	0	1	1	0
Antennarius pauciradiatus	1	1	1	1	1	1	3
Kryptopterus piperatus	1	?	1	?	1	0	3
Uropterygius supraforatus	0	0	0	0	1	1	0
Centromochlus romani	1	1	2	2	0	0	3
Pungitius tymensis	1	?	1	?	1	0	3
Doryrhamphus janssi	?	0	?	0	0	1	2
Microglanis garavelloi	1	?	2	?	1	0	3
Micrognathus natans	?	0	?	0	0	1	2
Allocyttus folletti	1	1	2	2	1	1	3
Daector schmitti	1	1	2	2	1	1	3
Liparis coheni	1	?	1	?	1	0	3
Xanthichthys ringens	1	1	1	2	1	1	3
Astronesthes lucibucca	?	1	?	1	0	1	3
Farlowella schreitmuelleri	1	?	2	?	1	0	3
Alosa volgensis	1	?	1	?	1	0	3
Cynolebias perforatus	1	?	1	?	1	0	3
Gymnothorax steindachneri	0	0	0	0	1	1	0
Meiacanthus luteus	1	?	1	?	1	0	3
Kryptophanaron alfredi	?	1	?	2	0	1	3
Notoliparis antonbruuni	1	?	1	?	1	0	3
Antennarius hispidus	1	1	1	1	1	1	3
Cordylancistrus torbesensis	1	1	2	2	0	0	3
Jenynsia eigenmanni	1	?	2	?	1	0	3
Ecsenius trilineatus	1	?	1	?	1	0	3
Oman ypsilon	1	?	1	?	1	0	3
Tridensimilis venezuelae	1	?	1	?	1	0	3
Pimelodella pappenheimi	1	?	2	?	1	0	3
Avocettina infans	1	0	1	0	1	1	2
Panturichthys mauritanicus	0	0	0	0	1	1	0
Eustomias satterleei	?	1	?	1	0	1	3
Symphodus mediterraneus	1	1	2	2	1	1	3
Notropis heterodon	1	1	2	2	0	0	3
Exallias brevis	1	?	1	?	1	0	3
Istiblennius rivulatus	1	?	1	?	1	0	3
Chlidichthys pembae	1	1	1	1	1	1	3
Corydoras eques	1	?	2	?	0	0	3
Neoconger vermiformis	0	0	0	0	1	1	0
Oreoglanis delacouri	1	1	2	2	0	0	3
Cetopsis oliveirai	1	1	2	2	0	0	3
Icelus sekii	1	?	1	?	1	0	3
Typhlobelus guacamaya	1	?	1	?	1	0	3
Holtbyrnia conocephala	1	?	1	?	1	0	3
Galaxias argenteus	1	1	1	2	1	1	3
Meuschenia scaber	1	0	1	0	1	1	2
Careproctus kidoi	1	?	1	?	1	0	3
Robia legula	1	0&1	1	0&1	0	0	2
Paraliparis calidus	1	0	1	0	1	1	2
Elassoma evergladei	?	1	?	2	0	1	3
Melanostigma vitiazi	1	?	1	?	1	0	3
Pseudocheilinus citrinus	1	1	2	2	1	1	3
Chascanopsetta prorigera	1	1	1	1	1	1	3
Canthigaster inframacula	1	1	1	2	1	1	3
Prionotus longispinosus	1	?	1	?	1	0	3
Careproctus stigmatogenus	1	?	1	?	1	0	3
Aphyosemion punctulatum	1	?	2	?	1	0	3
Parauchenoglanis altipinnis	1	1	2	2	0	0	3
Aphyosemion koungueense	1	?	2	?	1	0	3
Codoma ornata	?	1	?	2	0	0	3
Protomyctophum arcticum	?	1	?	2	0	1	3
Acantholiparis opercularis	1	?	1	?	1	0	3
Acreichthys radiatus	1	0	1	0	1	1	2
Protomyctophum mcginnisi	?	1	?	2	0	1	3
Hypostomus luteomaculatus	1	?	2	?	1	0	3
Amphilius maesii	1	?	2	?	1	0	3
