taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated	paired_fin
Leptostomias longibarba	?	1	?	1	0	1	3
Pimelodus brevis	1	?	2	?	1	0	3
Careproctus filamentosus	1	?	1	?	1	0	3
Nothobranchius microlepis	1	?	2	?	1	0	3
Glyptothorax interspinalus	1	?	2	?	1	0	3
Cottus beldingii	1	?	1	?	1	0	3
Encheliophis chardewalli	0	0	0	0	1	1	0
Aphyosemion lujae	1	?	2	?	1	0	3
Astyanax pellegrini	1	?	2	?	1	0	3
Wetmorella tanakai	1	?	1	?	1	0	3
Bothus lunatus	1	1	1	1	1	1	3
Salaria fluviatilis	1	?	1	?	1	0	3
Ogilbyina queenslandiae	1	1	1	1	1	1	3
Stethojulis maculata	1	?	1	?	1	0	3
Oreoglanis frenatus	1	?	2	?	1	0	3
Kryptolebias caudomarginatus	1	?	1	?	1	0	3
Canthigaster supramacula	1	1	1	2	1	1	3
Cynoglossus purpureomaculatus	0	0	0	0	1	1	0
Genioliparis lindbergi	1	?	1	?	1	0	3
Symphurus leei	0	0	0	0	1	1	0
Neofundulus parvipinnis	1	?	1	?	1	0	3
Macroparalepis affinis	1	1	2	2	0	0	3
Hypoptychus dybowskii	1	0	1	0	0	0	2
Ctenopoma kingsleyae	1	1	1	1	1	1	3
Pimelodella montana	1	?	2	?	1	0	3
Galaxias zebratus	1	1	1	2	1	1	3
Assiculoides desmonotus	1	1	1	1	1	1	3
Harpadon microchir	?	1	?	2	0	1	3
Alectis ciliaris	1	?	1	?	1	0	3
Trichomycterus spelaeus	1	?	1	?	1	0	3
Triglops jordani	1	?	1	?	1	0	3
Hypentelium nigricans	?	1	?	2	0	0	3
Cynoglossus capensis	0	0	0	0	1	1	0
Leporinus friderici	?	1	?	2	0	0	3
Paralichthys aestuarius	1	?	2	?	1	0	3
Hypostomus ancistroides	1	?	2	?	1	0	3
Hoplerythrinus unitaeniatus	1	1	2	1	0	0	3
Engyprosopon natalensis	1	1	1	1	1	1	3
Cynoglossus bilineatus	0	0	0	0	1	1	0
Pseudobunocephalus amazonicus	1	?	2	?	0	0	3
Eustomias digitatus	?	1	?	1	0	1	3
Ilyophis brunneus	?	0	?	0	0	1	2
Leptoancistrus cordobensis	1	?	2	?	1	0	3
Sorubim maniradii	1	?	2	?	1	0	3
Trichomycterus dispar	1	?	1	?	1	0	3
Kathetostoma fluviatilis	1	?	2	?	1	0	3
Gymnothorax castlei	0	0	0	0	1	1	0
Gymnotus anguillaris	1	0	2	0	0	0	2
Nettenchelys dionisi	0	0	0	0	1	1	0
Melamphaes pumilus	?	1	?	2	0	1	3
Bodianus scrofa	1	?	1	?	1	0	3
Stokellia anisodon	1	?	2	?	1	0	3
Himantolophus borealis	1	0	1	0	1	1	2
Cinetodus crassilabris	1	1	2	2	0	0	3
Astronesthes ijimai	?	1	?	1	0	1	3
Nannocampus weberi	?	0	?	0	0	1	2
Lepidogalaxias salamandroides	1	?	2	?	1	0	3
Bothrocara hollandi	1	?	1	?	1	0	3
Gymnelus retrodorsalis	1	?	1	?	1	0	3
Lycodes paucilepidotus	1	?	1	?	1	0	3
Myctophum affine	1	1	2	2	0	0	3
Cynoglossus interruptus	0	0	0	0	1	1	0
Hippichthys heptagonus	?	0	?	0	0	1	2
Eigenmannia humboldtii	1	0	2	0	0	0	2
Benthenchelys pacificus	?	0	?	0	0	1	2
Diaphus schmidti	?	1	?	2	0	1	3
Siokunichthys nigrolineatus	?	0	?	0	0	1	2
Chasmocranus brevior	1	?	2	?	1	0	3
Peckoltia oligospila	1	1	2	2	0	0	3
Carpiodes velifer	?	1	?	2	0	0	3
Icelinus tenuis	1	?	1	?	1	0	3
Pterobunocephalus depressus	1	?	2	?	0	0	3
Heteroconger pellegrini	0	0	0	0	1	1	0
Rineloricaria hasemani	1	?	2	?	1	0	3
Perulibatrachus aquilonarius	1	1	2	2	1	1	3
Pterygotrigla macrolepidota	1	?	1	?	1	0	3
Hemibagrus hainanensis	1	1	2	2	0	0	3
Symphurus billykrietei	0	0	0	0	1	1	0
Stauroglanis gouldingi	1	?	1	?	1	0	3
Syngnathus taenionotus	?	0	?	0	0	1	2
Echiodon drummondii	1	0	1	0	1	1	2
Parapercis okamurai	1	?	2	?	1	0	3
Halichoeres trimaculatus	1	?	1	?	1	0	3
Cirripectes quagga	1	?	1	?	1	0	3
Lycenchelys novaezealandiae	1	?	1	?	1	0	3
Uranoscopus kaianus	1	?	2	?	1	0	3
Cyprinella chloristia	1	1	2	2	0	0	3
Himantolophus appelii	1	0	1	0	1	1	2
Synodus jaculum	?	1	?	2	0	1	3
Pelteobagrus tonkinensis	1	?	2	?	1	0	3
Pimelodella eigenmanniorum	1	?	2	?	1	0	3
Rachovia hummelincki	1	?	1	?	1	0	3
Pervagor randalli	1	0	1	0	1	1	2
Anchoa spinifer	?	1	?	1	0	0	3
Lycodichthys antarcticus	1	?	1	?	1	0	3
Symphurus nebulosus	0	0	0	0	1	1	0
Synodontis dhonti	1	?	2	?	1	0	3
Anchoviella guianensis	?	1	?	1	0	0	3
Diplostomias indicus	?	1	?	1	0	1	3
Ancylopsetta dendritica	1	?	2	?	1	0	3
Patagonotothen ramsayi	1	?	2	?	0	0	3
Hilsa kelee	1	1	1	2	1	0	3
Chascanopsetta elski	1	1	1	1	1	1	3
Malapterurus teugelsi	1	?	2	?	1	0	3
Rhamdella montana	1	?	2	?	1	0	3
Anarchias supremus	0	0	0	0	1	1	0
Corydoras rabauti	1	1	2	2	0	0	3
Pseudolabrus gayi	1	?	1	?	1	0	3
Mastacembelus ellipsifer	1	?	1	?	0	0	3
Ophichthus tchangi	?	0	?	0	0	1	2
Parachanna africana	1	?	1	?	1	0	3
Dysomma polycatodon	?	0	?	0	0	1	2
Trichomycterus heterodontus	1	?	1	?	1	0	3
Moringua javanica	0	0	0	0	1	1	0
Scleropages aureus	1	?	1	?	1	0	3
Pseudobagrus brachyrhabdion	1	?	2	?	1	0	3
Gogangra laevis	1	?	2	?	1	0	3
Clepticus brasiliensis	1	?	1	?	1	0	3
Gagata cenia	1	?	2	?	0	0	3
Limnothrissa miodon	1	1	1	1	1	0	3
Alosa suworowi	1	?	1	?	1	0	3
Sebastes owstoni	1	?	2	?	0	0	3
Synchirus gilli	1	?	1	?	1	0	3
Sargocentron marisrubri	?	1	?	2	0	1	3
Arnoglossus oxyrhynchus	1	1	1	1	1	1	3
Oryzias latipes	1	1	2	2	0	0	3
Silurus triostegus	1	?	1	?	1	0	3
Paraliparis auriculatus	1	0	1	0	1	1	2
Canthigaster epilampra	1	1	1	2	1	1	3
Noturus placidus	1	?	2	?	1	0	3
Platyclarias machadoi	1	?	1	?	1	0	3
Cyclocheilichthys enoplos	?	1	?	2	0	0	3
Hyalobagrus ornatus	1	1	2	2	0	0	3
Ammodytoides kimurai	1	?	1	?	1	0	3
Tetractenos hamiltoni	1	1	1	2	1	1	3
Lythrurus alegnotus	1	1	2	2	1	0	3
Mesocottus haitej	1	?	1	?	1	0	3
Denticetopsis macilenta	1	1	2	2	0	0	3
Chaunax flammeus	1	?	2	?	1	0	3
Maratecoara lacortei	1	?	1	?	1	0	3
Allocyttus verrucosus	1	1	2	2	0	0	3
Salarias sinuosus	1	?	1	?	1	0	3
Takifugu exascurus	1	1	1	2	1	1	3
Parachromis friedrichsthalii	?	1	?	2	0	0	3
Naso lopezi	1	1	1	1	1	1	3
Lepidotrigla longipinnis	1	?	1	?	1	0	3
Boulengerella cuvieri	1	1	2	2	0	0	3
Idiotropiscis australe	?	0	?	0	0	1	2
Centroberyx gerrardi	?	1	?	2	0	1	3
Channa orientalis	1	?	1	?	1	0	3
Dysommina rugosa	?	0	?	0	0	1	2
Brycinus longipinnis	1	1	2	2	0	0	3
Searsia koefoedi	1	1	1	2	1	0	3
Istiblennius unicolor	1	?	1	?	1	0	3
Seriola zonata	1	?	1	?	1	0	3
Lophiodes caulinaris	1	?	2	?	1	0	3
Cathorops fuerthii	1	?	2	?	1	0	3
Sciades troschelii	1	1	2	2	0	0	3
Paraliparis porcus	1	0	1	0	1	1	2
Siokunichthys striatus	?	0	?	0	0	1	2
Stichaeopsis epallax	1	?	1	?	1	0	3
Stylephorus chordatus	1	0	1	0	0	0	2
Aseraggodes longipinnis	?	1	?	1	0	1	3
Nothobranchius korthausae	1	?	2	?	1	0	3
Glyptothorax botius	1	?	2	?	1	0	3
Macropharyngodon bipartitus	1	?	1	?	1	0	3
Sternarchorhynchus oxyrhynchus	1	0	2	0	0	0	2
Pterocryptis barakensis	1	?	1	?	1	0	3
Ophichthus tetratrema	?	0	?	0	0	1	2
Phalloceros lucenorum	1	?	2	?	1	0	3
Pseudolabrus torotai	1	?	1	?	1	0	3
Melamphaes acanthomus	?	1	?	2	0	1	3
Cyprinodon bobmilleri	1	?	1	?	1	0	3
Pseudochromis howsoni	1	1	1	1	1	1	3
Pseudojuloides cerasinus	1	?	1	?	1	0	3
Aseraggodes holcomi	0	1	0	1	0	0	1
Hippocampus coronatus	?	0	?	0	0	1	2
Aseraggodes bahamondei	?	1	?	1	0	1	3
Crystallichthys cameliae	1	?	1	?	1	0	3
Anarchopterus criniger	?	0	?	0	0	1	2
Nemapteryx caelata	1	?	2	?	1	0	3
Jenkinsia majua	1	?	1	?	1	0	3
Syacium micrurum	1	?	2	?	1	0	3
Eustomias pinnatus	?	1	?	1	0	1	3
Acantopsis choirorhynchos	1	1	2	2	0	0	3
Microphis insularis	?	0	?	0	0	1	2
Batasio pakistanicus	1	?	2	?	1	0	3
Polymixia yuri	?	1	?	2	0	1	3
Hypancistrus contradens	1	?	2	?	1	0	3
Omobranchus fasciolatoceps	1	?	1	?	1	0	3
Corythoichthys benedetto	?	0	?	0	0	1	2
Nothobranchius lourensi	1	?	2	?	1	0	3
Hypsoblennius sordidus	1	?	1	?	1	0	3
Symbolophorus veranyi	?	1	?	2	0	1	3
Citharichthys xanthostigma	1	?	2	?	1	0	3
Torquigener gloerfelti	1	1	1	2	1	1	3
Pseudophallus elcapitanensis	?	0	?	0	0	1	2
Selene peruviana	1	?	1	?	1	0	3
Sphoeroides angusticeps	1	1	1	2	1	1	3
Amblyceps kurzii	1	?	2	?	1	0	3
Cirrhimuraena playfairii	?	0	?	0	0	1	2
Eustomias jimcraddocki	?	1	?	1	0	1	3
Lepidotrigla nana	1	?	1	?	1	0	3
Phycodurus eques	?	0	?	0	0	1	2
Chaca chaca	1	1	2	2	0	0	3
Lumpenopsis pavlenkoi	1	?	1	?	1	0	3
Notolabrus cinctus	1	?	1	?	1	0	3
Eubalichthys bucephalus	1	0	1	0	1	1	2
Bassanago nielseni	?	0	?	0	0	1	2
Plataplochilus terveri	1	?	2	?	1	0	3
Careproctus macrodiscus	1	?	1	?	1	0	3
Megalops cyprinoides	1	1	2	1	0	0	3
Micropoecilia picta	1	?	2	?	1	0	3
Onuxodon parvibrachium	1	0	1	0	1	1	2
Dacodraco hunteri	1	1	2	2	0	0	3
Parachromis loisellei	?	1	?	2	0	0	3
Microlipophrys nigriceps	1	?	1	?	1	0	3
Myripristis kuntee	?	1	?	2	0	1	3
Anchichoerops natalensis	1	?	1	?	1	0	3
Nothobranchius ocellatus	1	?	2	?	1	0	3
Cryptacanthodes maculatus	1	0	2	0	1	1	2
Aulopus filamentosus	1	1	2	2	0	0	3
Congrogadus malayanus	1	0	1	0	0	0	2
Ataeniobius toweri	1	?	1	?	1	0	3
Oryzias uwai	1	1	2	2	0	0	3
Carangoides ferdau	1	?	1	?	1	0	3
Carapus sluiteri	1	0	1	0	1	1	2
Bellator brachychir	1	?	1	?	1	0	3
Bembrops heterurus	1	?	2	?	1	0	3
Oligoplites saurus	1	?	1	?	1	0	3
Gymnothorax prasinus	0	0	0	0	1	1	0
Carangoides talamparoides	1	?	1	?	1	0	3
Astyanax paranahybae	1	?	2	?	1	0	3
Kyonemichthys rumengani	?	0	?	0	0	1	2
Paraloricaria vetula	1	?	2	?	1	0	3
Aphyosemion louessense	1	?	2	?	1	0	3
Thysanactis dentex	?	1	?	1	0	1	3
Scardinius erythrophthalmus	?	1	?	2	0	0	3
Pimelodella odynea	1	?	2	?	1	0	3
Symphurus septemstriatus	0	0	0	0	1	1	0
Xenurobrycon macropus	?	1	?	2	0	0	3
Iotichthys phlegethontis	1	1	2	2	0	0	3
Henonemus triacanthopomus	1	?	1	?	1	0	3
Clarias platycephalus	1	?	1	?	1	0	3
Pantanodon stuhlmanni	1	?	2	?	1	0	3
Gymnotus tigre	1	0	1	0	1	1	2
Lithoxus jantjae	1	?	2	?	1	0	3
Diaphus knappi	?	1	?	2	0	1	3
Rhabdalestes septentrionalis	1	1	2	2	0	0	3
Schindleria pietschmanni	1	0	1	0	1	1	2
Fundulus heteroclitus	1	?	2	?	1	0	3
Careproctus spectrum	1	?	1	?	1	0	3
Epiplatys lamottei	1	?	2	?	1	0	3
Jenynsia tucumana	1	?	2	?	1	0	3
Epiplatys esekanus	1	?	2	?	1	0	3
Gymnothorax gracilicauda	0	0	0	0	1	1	0
Schismorhynchus labialis	?	0	?	0	0	1	2
Parotocinclus cesarpintoi	1	?	2	?	1	0	3
Silurus mento	1	?	2	?	0	0	3
Selaroides leptolepis	1	?	1	?	1	0	3
Ancistrus reisi	1	?	2	?	1	0	3
Prionotus beanii	1	?	1	?	1	0	3
Corydoras spectabilis	1	?	2	?	1	0	3
Cosmocampus albirostris	?	0	?	0	0	1	2
Ammodytoides pylei	1	?	1	?	1	0	3
Gigantactis macronema	1	0	1	0	1	1	2
Solea solea	?	1	?	1	0	1	3
Nocomis raneyi	1	1	2	2	0	0	3
Labropsis micronesica	1	?	1	?	1	0	3
Echelus pachyrhynchus	?	0	?	0	0	1	2
Jenynsia multidentata	1	?	2	?	1	0	3
Photonectes braueri	?	1	?	1	0	1	3
Pareuchiloglanis nebulifer	1	?	2	?	1	0	3
Roestes molossus	1	1	2	2	0	0	3
Chirolophis nugator	1	?	1	?	1	0	3
Arius malabaricus	1	?	2	?	1	0	3
Protomyctophum subparallelum	?	1	?	2	0	1	3
Torquigener pallimaculatus	1	1	1	2	1	1	3
Congrhynchus talabonoides	?	0	?	0	0	1	2
Nothobranchius interruptus	1	?	2	?	1	0	3
Bufoceratias shaoi	1	0	1	0	1	1	2
Plagiogrammus hopkinsii	1	?	1	?	1	0	3
Synodontis polystigma	1	?	2	?	1	0	3
Chlorophthalmus ichthyandri	?	1	?	2	0	1	3
Rineloricaria henselii	1	?	2	?	1	0	3
Melanostomias paucilaternatus	?	1	?	1	0	1	3
Astyanax parahybae	1	1	2	2	0	0	3
Trachinus draco	1	?	2	?	1	0	3
Sargocentron rubrum	?	1	?	2	0	1	3
Takifugu vermicularis	1	1	1	2	1	1	3
Diastobranchus capensis	?	0	?	0	0	1	2
Oncorhynchus mykiss	1	1	2	2	0	0	3
Centrodoras hasemani	1	?	2	?	1	0	3
Aphanius asquamatus	1	?	1	?	1	0	3
Bascanichthys deraniyagalai	?	0	?	0	0	1	2
Synodontis vanderwaali	1	?	2	?	1	0	3
Paralepis brevirostris	1	1	2	2	0	0	3
Gymnelopsis brashnikovi	1	?	1	?	1	0	3
Centrolabrus trutta	1	1	2	2	1	1	3
Parapercis natator	1	?	2	?	1	0	3
Triathalassothia argentina	1	1	2	2	1	1	3
Eustomias melanonema	?	1	?	1	0	1	3
Lestidiops similis	1	1	2	2	1	1	3
Coris cuvieri	1	?	1	?	1	0	3
Chlidichthys inornatus	1	1	1	1	1	1	3
Pachycara crossacanthum	1	?	1	?	1	0	3
Moema portugali	1	?	1	?	1	0	3
Lupinoblennius paivai	1	?	1	?	1	0	3
Pimelodus ornatus	1	1	2	2	0	0	3
Nannocampus pictus	?	0	?	0	0	1	2
Nanobagrus nebulosus	1	?	2	?	1	0	3
Synodontis thysi	1	?	2	?	1	0	3
Zebrias zebrinus	?	1	?	1	0	1	3
Bembrops gobioides	1	?	2	?	1	0	3
Lepidobero sinensis	1	?	1	?	1	0	3
Paralichthys woolmani	1	?	2	?	1	0	3
Neoplecostomus franciscoensis	1	?	2	?	1	0	3
Mastacembelus micropectus	1	?	1	?	0	0	3
Siokunichthys southwelli	?	0	?	0	0	1	2
Dayella malabarica	1	?	1	?	1	0	3
Corydoras urucu	1	?	2	?	1	0	3
Gymnothorax maderensis	0	0	0	0	1	1	0
Tripodichthys angustifrons	1	1	2	2	1	1	3
Saurida microlepis	?	1	?	2	0	1	3
Macrotrema caligans	?	0	?	0	0	1	2
Poecilia orri	1	?	2	?	1	0	3
Elops affinis	1	1	2	2	0	0	3
Rudarius ercodes	1	0	1	0	1	1	2
Ancistrus caucanus	1	?	2	?	1	0	3
Diaphus coeruleus	?	1	?	2	0	1	3
Comephorus dybowskii	1	0	1	0	1	1	2
Sternarchorhynchus cramptoni	1	0	1	0	1	1	2
Xenentodon canciloides	1	?	1	?	1	0	3
Kryptopterus sabanus	1	?	1	?	1	0	3
Acanthurus achilles	1	1	1	1	1	1	3
Clupeichthys bleekeri	1	1	1	2	1	0	3
Characodon lateralis	1	?	1	?	1	0	3
Limia yaguajali	1	?	2	?	1	0	3
Caranx crysos	1	?	1	?	1	0	3
Herpetoichthys fossatus	?	0	?	0	0	1	2
Coris julis	1	?	1	?	1	0	3
Myoxocephalus thompsonii	1	?	1	?	1	0	3
Sisor barakensis	1	?	2	?	1	0	3
Xenobalistes tumidipectoris	1	1	1	2	1	1	3
Pungitius sinensis	1	?	1	?	1	0	3
Synaphobranchus oregoni	?	0	?	0	0	1	2
Artediellus ochotensis	1	?	1	?	1	0	3
Auriglobus remotus	1	1	1	2	1	1	3
Porocottus quadrifilis	1	?	1	?	1	0	3
Chiloglanis anoterus	1	?	2	?	1	0	3
Canthidermis macrolepis	1	1	1	2	1	1	3
Rineloricaria steindachneri	1	?	2	?	1	0	3
Argopleura chocoensis	?	1	?	2	0	0	3
Paraliparis infeliciter	1	0	1	0	1	1	2
Couesius plumbeus	1	?	2	?	1	0	3
Loricariichthys ucayalensis	1	?	2	?	1	0	3
Ilyophis arx	?	0	?	0	0	1	2
Haptenchelys texis	?	0	?	0	0	1	2
Tetrosomus concatenatus	1	1	1	2	1	1	3
Acestridium triplax	1	?	2	?	1	0	3
Dagetichthys lakdoensis	?	1	?	1	0	1	3
Chalaroderma ocellata	1	?	1	?	1	0	3
Paradicula setifer	?	1	?	1	0	1	3
Nannobrachium nigrum	?	1	?	2	0	1	3
Sardinella aurita	1	?	1	?	1	0	3
Hemilepidotus zapus	1	?	1	?	1	0	3
Chiasmodon pluriradiatus	1	?	2	?	1	0	3
Porotergus gymnotus	1	0	1	0	1	1	2
Brachyrhamdia meesi	1	1	2	2	0	0	3
Trachinus cornutus	1	?	2	?	1	0	3
Lycodonus flagellicauda	1	?	1	?	1	0	3
Leptachirus alleni	?	1	?	1	0	1	3
Liparis tanakae	1	?	1	?	1	0	3
Hologymnosus doliatus	1	?	1	?	1	0	3
Takifugu rubripes	1	1	1	2	1	1	3
Amphilius pulcher	1	?	2	?	1	0	3
Choeroichthys brachysoma	?	0	?	0	0	1	2
Anguilla bengalensis	1	0	1	0	1	1	2
Parotocinclus bidentatus	1	?	2	?	1	0	3
Boraras maculatus	1	?	2	?	0	0	3
Opsanus dichrostomus	1	1	2	2	1	1	3
Metelectrona ventralis	?	1	?	2	0	1	3
Hippocampus satomiae	?	0	?	0	0	1	2
Glanidium albescens	1	1	2	2	0	0	3
Ctenopoma ashbysmithi	1	1	1	1	1	1	3
Cyttomimus stelgis	1	1	2	2	0	0	3
Bathycongrus retrotinctus	?	0	?	0	0	1	2
Astyanax tumbayaensis	1	?	2	?	1	0	3
Chiloglanis polypogon	1	1	2	2	0	0	3
Atopochilus macrocephalus	1	?	2	?	1	0	3
Cathorops mapale	1	?	2	?	1	0	3
Sanopus barbatus	1	1	2	2	1	1	3
Careproctus aculeolatus	1	?	1	?	1	0	3
Fundulus grandissimus	1	?	2	?	1	0	3
Bagre bagre	1	1	2	2	0	0	3
Ophioblennius macclurei	1	?	1	?	1	0	3
Corydoras breei	1	?	2	?	1	0	3
Catostomus clarkii	?	1	?	2	0	0	3
Citharoides macrolepidotus	1	1	2	2	0	0	3
Trachinotus goodei	1	?	1	?	1	0	3
Synodontis angelicus	1	1	2	2	0	0	3
Opaeophacus acrogeneius	1	?	1	?	1	0	3
Parotocinclus longirostris	1	?	2	?	1	0	3
Eumesogrammus praecisus	1	?	1	?	1	0	3
Palmoliparis beckeri	1	?	1	?	1	0	3
Dibranchus japonicus	1	?	2	?	1	0	3
Microctenopoma uelense	1	1	1	1	1	1	3
Rachovia pyropunctata	1	?	1	?	1	0	3
Phasmatocottus ctenopterygius	1	?	1	?	1	0	3
Chaetostoma loborhynchos	1	?	2	?	1	0	3
Micropanchax bracheti	1	?	2	?	1	0	3
Chrysichthys punctatus	1	1	2	2	0	0	3
Chrysichthys nigrodigitatus	1	1	2	2	0	0	3
Pythonichthys microphthalmus	0	0	0	0	1	1	0
Aplocheilichthys antinorii	1	?	2	?	1	0	3
Ophichthus parilis	?	0	?	0	0	1	2
Paraliparis skeliphrus	1	0	1	0	1	1	2
Liparis agassizii	1	?	1	?	1	0	3
Simpsonichthys adornatus	1	?	1	?	1	0	3
Rivulus roloffi	1	?	1	?	1	0	3
Dorosoma chavesi	1	?	1	?	1	0	3
Cephalopsetta ventrocellatus	1	?	2	?	1	0	3
Doumea chappuisi	1	1	2	2	1	0	3
Aphyosemion omega	1	?	2	?	1	0	3
Ompok miostoma	1	1	2	2	0	0	3
Otothyris lophophanes	1	?	2	?	0	0	3
Corydoras kanei	1	?	2	?	1	0	3
Callechelys bitaeniata	?	0	?	0	0	1	2
Simpsonichthys alternatus	1	?	1	?	1	0	3
Ilyodon cortesae	1	?	1	?	1	0	3
Doryichthys martensii	?	0	?	0	0	1	2
Scobinancistrus pariolispos	1	1	2	2	0	0	3
Vanacampus poecilolaemus	?	0	?	0	0	1	2
Tribolodon sachalinensis	1	?	2	?	1	0	3
Sciades seemanni	1	?	2	?	1	0	3
Aspidoras menezesi	1	?	2	?	1	0	3
Porocottus camtschaticus	1	?	1	?	1	0	3
Carinotetraodon salivator	1	1	1	2	1	1	3
Chaetodermis penicilligerus	1	0	1	0	1	1	2
Lepidotrigla longimana	1	?	1	?	1	0	3
Careproctus tricapitidens	1	?	1	?	1	0	3
Trichomycterus chapmani	1	?	1	?	1	0	3
Catostomus ardens	?	1	?	2	0	0	3
Lobianchia gemellarii	?	1	?	2	0	1	3
Simpsonichthys santanae	1	?	1	?	1	0	3
Acanthurus fowleri	1	1	1	1	1	1	3
Caranx ignobilis	1	?	1	?	1	0	3
Orestias forgeti	1	?	1	?	1	0	3
Gelanoglanis nanonocticolus	1	?	2	?	1	0	3
Maroubra yasudai	?	0	?	0	0	1	2
Careproctus credispinulosus	1	?	1	?	1	0	3
Cynodonichthys fuscolineatus	1	?	1	?	1	0	3
Hypleurochilus multifilis	1	?	1	?	1	0	3
Leptodoras praelongus	1	?	2	?	1	0	3
Odontognathus mucronatus	1	0	1	0	0	0	2
Farlowella martini	1	?	2	?	1	0	3
Neostethus robertsi	1	?	1	?	1	0	3
Strongylura anastomella	1	?	1	?	1	0	3
Citharichthys uhleri	1	?	2	?	1	0	3
Engyprosopon mogkii	1	1	1	1	1	1	3
Scobinancistrus aureatus	1	?	2	?	1	0	3
Ahliesaurus berryi	1	1	2	2	0	0	3
Aseraggodes borehami	?	1	?	1	0	1	3
Careproctus steini	1	?	1	?	1	0	3
Pisodonophis copelandi	?	0	?	0	0	1	2
Eustomias aequatorialis	?	1	?	1	0	1	3
Rineloricaria jaraguensis	1	?	2	?	1	0	3
Diodon eydouxii	1	0	1	0	1	1	2
Syngnathus exilis	?	0	?	0	0	1	2
Cynodonichthys chucunaque	1	?	1	?	1	0	3
Diaphus pacificus	?	1	?	2	0	1	3
Paraliparis copei	1	0	2	0	0	1	2
Synodontis woleuensis	1	?	2	?	1	0	3
Ophioblennius clippertonensis	1	?	1	?	1	0	3
Diaphus whitleyi	?	1	?	2	0	1	3
Hemiodus quadrimaculatus	1	1	2	1	0	0	3
Xystreurys liolepis	1	?	2	?	1	0	3
Zungaro zungaro	1	?	2	?	1	0	3
Cantherhines dumerilii	1	0	1	0	1	1	2
Adontosternarchus balaenops	1	0	1	0	1	1	2
Melanostigma orientale	1	?	1	?	1	0	3
Dactyloptena papilio	?	1	?	2	0	1	3
Gila nigrescens	1	?	2	?	1	0	3
Pogonophryne platypogon	1	?	2	?	1	0	3
Alosa killarnensis	1	?	1	?	1	0	3
Laimosemion geayi	1	?	1	?	1	0	3
Synodontis nebulosus	1	?	2	?	1	0	3
Apteronotus magoi	1	0	1	0	1	1	2
Imparfinis minutus	1	?	2	?	1	0	3
Solocisquama erythrina	1	?	2	?	1	0	3
Trichomycterus riojanus	1	?	1	?	1	0	3
Xiphophorus roseni	1	?	2	?	1	0	3
Alosa pseudoharengus	1	1	2	1	0	0	3
Lampanyctus turneri	?	1	?	2	0	1	3
Petrocephalus microphthalmus	?	1	?	1	0	1	3
Ecsenius oculatus	1	?	1	?	1	0	3
Cyprinella callisema	1	?	2	?	1	0	3
Echidna polyzona	0	0	0	0	1	1	0
Encheloclarias baculum	1	?	1	?	1	0	3
Aphyosemion christyi	1	?	2	?	1	0	3
Choeroichthys suillus	?	0	?	0	0	1	2
Megalonema pauciradiatum	1	?	2	?	1	0	3
Astyanax epiagos	1	?	2	?	1	0	3
Leporinus pellegrinii	?	1	?	2	0	0	3
Etropus rimosus	1	?	2	?	1	0	3
Neochanna diversus	1	0	1	0	0	0	2
Paraliparis atrolabiatus	1	0	1	0	1	1	2
Ancistrus montanus	1	?	2	?	1	0	3
Gymnotus ucamara	1	0	1	0	1	1	2
Erimystax dissimilis	1	?	2	?	1	0	3
Phenacorhamdia hoehnei	1	?	2	?	1	0	3
Poecilia koperi	1	?	2	?	1	0	3
Andamia cyclocheilus	1	?	1	?	1	0	3
Rhamphichthys apurensis	1	0	1	0	1	1	2
Pseudorasbora parva	?	1	?	2	0	0	3
Lycodes raridens	1	?	1	?	1	0	3
Kentrocapros eco	1	1	2	2	1	1	3
Lycenchelys xanthoptera	1	0	1	0	1	0	2
Chiloglanis occidentalis	1	1	2	2	0	0	3
Hyalobagrus flavus	1	?	2	?	1	0	3
Hoplostethus melanopus	?	1	?	2	0	1	3
Cathorops belizensis	1	?	2	?	1	0	3
Hybopsis winchelli	1	1	2	2	0	0	3
Parablennius verryckeni	1	?	1	?	1	0	3
Ompok pinnatus	1	?	1	?	1	0	3
Neostethus borneensis	1	?	1	?	1	0	3
Arnoglossus kessleri	1	1	1	1	1	1	3
Aplocheilus lineatus	1	?	2	?	1	0	3
Paraliparis meganchus	1	0	1	0	1	1	2
Austrolebias adloffi	1	?	1	?	1	0	3
Gymnotus coatesi	1	0	1	0	1	1	2
Corydoras stenocephalus	1	?	2	?	0	0	3
Eustomias vitiazi	?	1	?	1	0	1	3
Echiodon rendahli	1	0	1	0	1	1	2
Schilbe zairensis	1	?	1	?	1	0	3
Macropharyngodon choati	1	?	1	?	1	0	3
Enophrys diceraus	1	?	1	?	1	0	3
Scartella springeri	1	?	1	?	1	0	3
Cranoglanis caolangensis	1	?	2	?	1	0	3
Symphurus ommaspilus	0	0	0	0	1	1	0
Chelidonichthys spinosus	1	?	1	?	1	0	3
Profundulus guatemalensis	1	?	2	?	1	0	3
Eustomias binghami	?	1	?	1	0	1	3
Carapus mourlani	1	0	1	0	1	1	2
Trichomycterus itatiayae	1	?	2	?	0	0	3
Daector reticulata	1	1	2	2	1	1	3
Misgurnus fossilis	1	1	2	2	0	0	3
Brachysomophis henshawi	?	0	?	0	0	1	2
Aguarunichthys inpai	1	?	2	?	1	0	3
