taxa_name	pectoral_fin	pelvic_fin	pectoral_inferred	pelvic_inferred	pectoral_propagated	pelvic_propagated
Anisochromis_kenyae	1	1	1	1	1	1
Anisochromis_mascarenensis	1	1	1	1	1	1
Anisochromis_straussi	1	1	1	1	1	1
Kronichthys_lacerta	1	?	2	?	1	0
Kronichthys_subteres	1	?	2	?	1	0
Holocentrus_rufus	?	1	?	2	0	1
Holocentrus_adscensionis	?	1	?	2	0	1
Holocentrum_pygmaeum	?	1	?	2	0	1
Holocentrus_adscensionsis	?	1	?	2	0	1
Holocentrum_pygaeum	?	1	?	2	0	1
Centrolabrus_exoletus	1	1	2	2	1	1
Centrolabrus_trutta	1	1	2	2	1	1
Centrolabrus_caeruleus	1	1	2	2	1	1
Stephanoberyx_monae	?	1	?	2	0	1
Franciscodoras_marmoratus	1	1	2	2	1	1
Cirrhilabrus_pylei	1	1	2	2	1	1
Cirrhilabrus_condei	1	1	2	2	1	1
Cirrhilabrus_lineatus	1	1	2	2	1	1
Cirrhilabrus_solorensis	1	1	2	2	1	1
Cirrhilabrus_balteatus	1	1	2	2	1	1
Cirrhilabrus_melanomarginatus	1	1	2	2	1	1
Cirrhilabrus_luteovittatus	1	1	2	2	1	1
Cirrhilabrus_marjorie	1	1	2	2	1	1
Cirrhilabrus_rhomboidalis	1	1	2	2	1	1
Cirrhilabrus_roseafascia	1	1	2	2	1	1
Cirrhilabrus_lanceolatus	1	1	2	2	1	1
Cirrhilabrus_walshi	1	1	2	2	1	1
Cirrhilabrus_bathyphilus	1	1	2	2	1	1
Cirrhilabrus_randalli	1	1	2	2	1	1
Cirrhilabrus_rubrisquamis	1	1	2	2	1	1
Cirrhilabrus_laboutei	1	1	2	2	1	1
Cirrhilabrus_tonozukai	1	1	2	2	1	1
Cirrhilabrus_cyanopleura	1	1	2	2	1	1
Cirrhilabrus_temminckii	1	1	2	2	1	1
Cirrhilabrus_exquisitus	1	1	2	2	1	1
Cirrhilabrus_punctatus	1	1	2	2	1	1
Cirrhilabrus_scottorum	1	1	2	2	1	1
Cirrhilabrus_rubriventralis	1	1	2	2	1	1
Cirrhilabrus_beauperryi	1	1	2	2	1	1
Cirrhilabrus_rubrimarginatus	1	1	2	2	1	1
Cirrhilabrus_flavidorsalis	1	1	2	2	1	1
