Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
4100	-137.113	-171.912	34.799	0.05707602	0.1024128	0.08839045	0.001863856	0.01501241	0.009400202	0.04039897	0.09530072	0.08136043	0.1126016	0.0005824881	0.003884988	0.03379418	0.001424387	0.001932308	0.01120125
4200	-137.86	-174.874	37.0146	0.05964467	0.1251802	0.07668029	0.004702084	0.007162692	0.002747401	0.008283415	0.1226225	0.07438125	0.01031977	0.00399445	4.631829e-05	0.03086783	0.002540986	0.005640338	0.0110403
4300	-140.805	-169.55	28.7456	0.001283589	0.1551827	0.02143001	0.009728888	0.0003612103	0.008315812	0.06528507	0.314517	0.1131259	0.1911075	0.00635363	0.002267419	0.05194998	0.0003008606	0.001638066	0.01645828
4400	-143.348	-172.461	29.1129	0.1664983	0.04935388	0.05185556	0.001926926	0.001146244	0.00553313	0.02418526	0.2502826	0.07438567	0.1808504	0.001568666	0.003458464	0.08703487	0.0003838135	0.004757368	0.03772169
4500	-140.04	-171.424	31.3838	0.07312777	0.06174894	0.1171813	0.01067321	0.004254603	0.004698659	0.005025503	0.1105879	0.06235089	0.1715431	0.001068577	0.003776226	0.1400793	0.000148637	0.0004617279	0.06067049
4600	-142.448	-174.821	32.3734	0.05489408	0.2604544	0.01608719	0.00933193	0.01575661	0.005577748	0.01299513	0.1657845	0.03100978	0.1534652	0.005101817	0.002338815	0.03171007	0.001673062	0.001421435	0.01031545
4700	-134.791	-166.127	31.3361	0.07833756	0.06531379	0.171543	0.0055353	0.005053528	0.005798885	0.02526729	0.1467318	0.1937756	0.06989558	4.35279e-05	0.002005738	0.04116659	0.0003877227	0.002672963	0.0162523
4800	-140.007	-171.966	31.9596	0.03036976	0.1448064	0.05786791	0.005701188	0.01071778	0.007805244	0.09883019	0.1557256	0.1852562	0.04340234	0.002634046	0.00115399	0.03648602	0.0001589387	0.004575779	0.01311634
4900	-140.06	-170.639	30.5784	0.1250434	0.07315464	0.1010731	0.0008032348	0.01336003	0.007523178	0.02122523	0.1481484	0.07020705	0.1968858	0.0007297408	0.001763214	0.07468667	0.002112386	0.001925146	0.02902374
5000	-139.453	-176.694	37.2406	0.04292346	0.006175691	0.03553386	0.002473342	0.003093794	0.01536947	0.0361878	0.02161452	0.1436696	0.04629384	0.0009268091	0.009253904	0.1087279	0.001101144	0.0002970075	0.06091249
5100	-145.861	-172.396	26.5348	0.189711	0.06854788	0.1028534	0.002727108	0.005508497	0.01273398	0.01697025	0.04666484	0.368183	0.1755279	0.0005622618	0.004345389	0.04180468	0.003304286	0.01143439	0.01896796
5200	-135.97	-173.584	37.6137	0.01213857	0.03320384	0.07828024	0.001084629	0.008732761	0.001473537	0.0296041	0.06137474	0.1506663	0.04857056	0.0004698442	0.005259861	0.05802993	0.002380763	0.002567557	0.02206179
5300	-136.395	-169.032	32.6373	0.03320576	0.133347	0.1440915	0.001546395	0.007103342	0.01009265	0.002098897	0.1399602	0.1380836	0.0757035	0.004955401	0.002622228	0.0471082	0.001160717	0.004270204	0.01937094
5400	-132.145	-165.908	33.7636	0.0596855	0.06704639	0.1052871	0.001449811	0.006637681	0.009382519	0.007116278	0.1831399	0.1829542	0.02410098	0.0001861247	0.0006712155	0.04040453	0.0006872491	0.005791025	0.01386564
5500	-136.486	-168.901	32.4152	0.1775797	0.01295168	0.1562474	0.005708721	0.002242619	0.013819	0.02336846	0.09712311	0.1566437	0.06724608	0.0002172244	0.0007832879	0.03918182	0.0002110733	0.005425222	0.01707566
5600	-145.527	-169.63	24.1027	0.1266383	0.1832102	0.1768495	0.002439295	0.0004286432	0.009475272	0.04388054	0.05098496	0.3683725	0.1314798	0.003432328	0.00334435	0.05885946	0.003522109	0.005922333	0.02260978
5700	-137.439	-172.226	34.7869	0.07946894	0.03053149	0.1724721	0.0008547365	0.007231602	0.008985982	0.002778493	0.07561237	0.197835	0.01414528	0.002501	0.00316932	0.03507487	0.003988082	0.004114873	0.0184753
5800	-136.406	-170.402	33.996	0.0194212	0.1262005	0.1340655	0.001431378	0.0006313599	0.008250451	5.529709e-05	0.1720226	0.05604757	0.0829325	0.005870524	0.0009329226	0.05490001	4.329657e-05	0.003089478	0.03089046
5900	-139.535	-171.105	31.5698	0.00694631	0.06971632	0.02305213	0.003041521	0.02356054	0.004759707	0.001628862	0.2076395	0.2379806	0.1852997	0.003325133	0.00151506	0.02830547	0.0006405908	0.004747315	0.01593635
6000	-139.717	-177.015	37.2976	0.05680286	0.03497229	0.0142156	0.007921935	0.009625616	0.007260129	0.02713324	0.0527714	0.1836933	0.08773314	0.001222907	0.00560108	0.030807	0.0006878299	0.004614307	0.006645211
6100	-139.23	-173.248	34.0181	0.0268765	0.000183844	0.1146431	0.01011229	0.001268906	0.01095069	0.006433772	0.2508043	0.02513358	0.1715986	0.003648132	0.001193697	0.05582188	0.0001828072	0.00200805	0.01481933
6200	-146.939	-172.437	25.4982	0.07310929	0.03337115	0.01849086	0.0007494532	0.01295254	0.01061369	0.009799591	0.3322864	0.3911861	0.1653698	0.002208243	0.001235235	0.04774518	0.000504135	0.01068758	0.01136796
6300	-135.592	-167.002	31.41	0.05387113	0.142473	0.30359	0.002063975	0.003582027	0.007890139	0.03467086	0.1455819	0.07900635	0.0001084588	0.0009783454	0.0005103988	0.03677884	0.000458746	0.002944125	0.01157938
6400	-137.195	-171.539	34.3442	0.139216	0.04230733	0.08255377	0.0002101315	0.00176046	0.01820759	0.0261906	0.06792188	0.1104966	0.06967391	0.001886242	0.004216704	0.07987078	0.0009025643	0.001116795	0.03284673
6500	-141.883	-173.466	31.5823	0.0306872	0.3009534	0.05811958	0.001814342	2.708797e-05	0.0121723	0.09187257	0.06133166	0.03352025	0.1114061	0.004759988	0.007673045	0.0652894	0.001517507	0.001010174	0.03531514
6600	-143.027	-175.671	32.6443	0.1732742	0.0959589	0.1477709	0.00614019	0.002547907	0.009938586	0.005080026	0.07673624	0.009683225	0.115832	0.00166878	0.006759369	0.06894974	0.002232028	0.001567907	0.04023023
6700	-139.173	-173.907	34.7331	0.0905063	0.1119538	0.07319369	0.00783062	0.003993734	0.002537162	0.01280627	0.1428034	0.04428699	0.08176527	0.006068568	0.001795742	0.05828472	0.0007357799	0.001107628	0.02026018
6800	-132.018	-167.632	35.6146	0.02108705	0.01324012	0.162803	0.001644111	0.008907895	0.006599859	0.007471104	0.1609059	0.1459091	0.03462484	0.001511317	0.001650449	0.03139117	0.0002994047	0.003835295	0.01397527
