Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
5800	-38.9995	-66.8983	27.8988	0.1244942	0.07410611	0.01909373	0.04836244	0.0214135	0.1101745	0.01986518	0.1131057	0.1044754	0.002938815	0.01191465	0.2417519	0.1044476	0.0002335888	0.003607549	0.001663064
5900	-32.1412	-65.6468	33.5056	0.08734366	0.03244545	0.002799293	0.01625201	0.08919738	0.1075972	0.02101516	0.192013	0.01521293	0.001800345	0.02863281	0.005516556	0.1180557	0.0002322193	0.003158314	3.30051e-05
6000	-27.3132	-65.6609	38.3478	0.04006013	0.002465675	0.09250386	0.005828429	0.007929362	0.01137678	0.003853519	0.07965116	0.07927012	0.0005219744	0.07469628	0.03437312	0.04054071	0.001044682	0.004098093	0.0009833463
6100	-33.8604	-63.3702	29.5098	0.1271033	0.1033567	0.1079086	0.001129749	0.1159895	0.07192373	0.01136127	0.08534805	0.02041742	0.0004299783	0.03789755	0.1300193	0.1047141	0.0002487837	0.002341463	0.0009073491
6200	-32.2264	-63.7379	31.5114	0.1736627	0.0557937	0.3225628	0.03265754	0.05218091	0.001509428	0.01583478	0.04667126	0.03564462	0.001863948	0.02178667	0.01831075	0.03830494	0.001077658	0.002430602	0.0007219097
6300	-29.6352	-63.545	33.9098	0.0213227	0.04876866	0.02683139	0.007956072	0.1057348	0.01201542	0.001426677	0.2274875	0.02909708	0.0008175766	0.08216414	0.06990585	0.06393184	0.0005434988	0.002798577	0.0002929875
6400	-24.7306	-61.8925	37.1618	0.05955572	0.06964763	0.1263959	0.007080346	0.004183805	0.01565005	0.003520591	0.03003907	0.03957243	0.001543118	0.07096118	0.04442104	0.06286226	0.000255384	0.002578241	0.0002271697
6500	-30.1753	-64.5977	34.4225	0.05896029	0.06389668	0.04741737	0.039864	0.03392595	0.03684249	0.0001511339	0.06928799	0.06155134	0.0002325894	0.04763156	0.05768112	0.152524	0.0006478242	0.002488528	0.002360257
6600	-33.9876	-65.7808	31.7932	0.01640559	0.02116386	0.09610335	0.006956818	0.01617711	0.002557451	0.00948079	0.14139	0.1332838	0.001998792	0.05595387	0.1344036	0.1677357	0.000830987	0.001183494	0.001301794
6700	-31.5435	-66.8508	35.3073	0.1364337	0.1043907	0.1692423	0.008693616	0.02796635	0.002578894	0.002141675	0.02953586	0.08348089	0.002205926	0.008373098	0.04330352	0.004295092	0.0002108459	0.007103304	0.001267006
6800	-28.6642	-63.6294	34.9652	0.1392202	0.1008734	0.06256123	0.04141883	0.002753836	0.05653951	0.00399319	0.01804107	0.03438488	0.0008804257	0.01099635	0.1479208	0.02493845	0.000912283	0.001927179	0.0009632659
6900	-24.3923	-61.996	37.6037	0.04556473	0.0469072	0.05496266	0.00907526	0.00438283	0.006171187	0.000864535	0.02945267	0.02789122	0.001438102	0.0206563	0.1121666	0.1521129	0.0001938964	0.00294067	0.001622122
7000	-29.797	-65.7935	35.9965	0.1288244	0.001303724	0.08891576	0.07114679	0.001144371	0.04479987	0.01394746	0.1114175	0.06534296	0.0002281264	0.02410889	0.002394947	0.04092971	7.692222e-05	0.001928009	0.0002499864
7100	-25.3264	-60.1384	34.812	0.09754935	0.04622492	0.04686771	0.01266648	0.02317288	0.07828597	0.002964367	0.08171751	0.006405048	0.0006158373	0.02402917	0.07146592	0.1606429	3.173038e-05	0.002582745	0.0007632795
7200	-22.7884	-59.7748	36.9865	0.05034544	0.04950109	0.1044653	0.006094368	0.04924814	0.009829437	0.003729971	0.154675	0.06160551	0.000306255	0.001752186	0.002692575	0.04963908	0.0002268755	0.002888237	0.0002624441
7300	-28.3791	-62.9475	34.5683	0.01248407	0.009607776	0.231686	0.01665695	0.05203291	0.02431861	0.001446832	0.08459128	0.08167256	0.002320177	0.01771007	0.07896304	0.05025605	7.848476e-05	0.00296797	0.001376213
