Iteration	Posterior	Likelihood	Prior	r14	r23	r32	r33	r38	r39	r42	r45	r48	r5	r51	r53	r56	r60	r62	r63
3700	-242.625	-267.426	24.8015	0.2054305	0.1490204	0.3377263	0.001356272	0.0227242	0.01154113	0.006658251	0.006201542	0.003159239	0.1076118	0.0123999	0.002995279	0.1512684	0.004546592	0.000888454	0.1329833
3800	-237.646	-265.349	27.7031	0.1193164	0.1332455	0.1998192	0.0005498145	0.01957352	0.01290975	0.005194782	0.007970406	0.002117329	0.1111805	0.001570953	0.002869162	0.1973733	0.005274371	0.006745802	0.1857186
3900	-237.608	-263.331	25.7231	0.08899049	0.2419273	0.2174826	0.0004625855	0.03062812	0.003648443	0.001218901	0.01097312	0.002090203	0.06266248	0.01181119	0.008480035	0.2521205	0.01400829	0.0102746	0.1536512
4000	-241.616	-266.479	24.8634	0.1062817	0.2820445	0.2842867	0.001812729	0.0242476	0.008959789	0.002549127	0.01445707	0.0008734855	0.118636	0.03500047	0.0006898437	0.1566632	0.01890451	0.001918508	0.09609252
4100	-249.171	-276.348	27.1771	0.3828364	0.1274257	0.2657966	0.007160271	0.02674983	0.001231462	0.01729281	0.009899606	0.004810385	0.1225986	0.003575525	0.01872298	0.01616864	0.005584739	0.001764165	0.02611177
4200	-240.679	-267.848	27.169	0.09326136	0.2323359	0.2276527	0.001444422	0.04124201	0.00367565	0.003712018	0.01255747	0.001203342	0.1542562	0.01207342	0.005767878	0.1124217	0.01626902	0.01060409	0.1096599
4300	-246.699	-269.775	23.0759	0.2850504	0.162997	0.4490443	0.0003077751	0.02910948	0.007818475	0.01564285	0.01598298	0.002393548	0.1161918	0.004201269	0.007800154	0.0815745	0.02486818	0.002033675	0.03777212
4400	-243.795	-269.532	25.7362	0.1122166	0.2843008	0.1255489	0.003511318	0.02401672	0.0006290942	0.00536453	0.007053887	0.00196441	0.2183488	0.00442526	0.01987654	0.1907384	0.008864346	0.006908533	0.09600814
4500	-236.958	-265.122	28.1637	0.2369858	0.2891425	0.05661927	0.001530194	0.03236067	0.00945311	2.676278e-05	0.014125	0.0006908883	0.1778264	0.02862616	0.003537211	0.08634405	0.006201934	0.004442383	0.04048913
4600	-240.04	-266.672	26.6326	0.1920046	0.2177266	0.210577	0.0007519253	0.0290712	0.002509267	0.009750938	0.01323799	0.00191741	0.1415569	0.004185648	0.002690954	0.1024595	0.01793156	0.01285962	0.1057263
4700	-241.036	-262.411	21.3753	0.2232979	0.1619438	0.3044528	0.0008210222	0.02839746	0.007782982	0.003264312	0.007363182	5.30246e-05	0.1515265	0.004230457	0.001136422	0.2089587	0.01311749	0.008209684	0.2032659
4800	-240.103	-267.518	27.4147	0.2605916	0.2147315	0.140489	0.006950549	0.02738366	0.006507935	0.005767951	0.007223716	0.00232926	0.1592856	0.003821051	0.005947731	0.1141022	0.00681235	0.00762422	0.05628437
4900	-237.359	-263.666	26.3068	0.1579166	0.1885214	0.116504	0.0005234559	0.04161882	0.003738167	0.002463023	0.01788366	0.003315245	0.2022324	0.001359649	0.007239448	0.1823794	0.005102366	0.007896887	0.1425496
5000	-240.626	-268.206	27.5795	0.04583997	0.2793259	0.1960206	0.00142345	0.03362588	0.004325103	0.003523817	0.018727	0.002057844	0.1498826	0.001035672	0.001577545	0.1380673	0.01044711	0.01609908	0.1156332
5100	-239.894	-270.219	30.3253	0.130885	0.1281357	0.2544144	0.0005320428	0.02504416	0.004298317	0.009852151	0.01161649	0.001267704	0.1749993	0.004962022	0.008578358	0.05712873	0.02168957	0.0121756	0.03474364
5200	-238.757	-265.133	26.3757	0.1273566	0.04236737	0.05330828	0.0003488497	0.02912312	0.005476221	0.0001048209	0.00965506	0.002082029	0.1337884	0.009433139	0.004304299	0.334778	0.003682235	0.01026905	0.3117214
5300	-240.895	-268.549	27.6549	0.2245772	0.0986027	0.107297	0.00987084	0.03845692	0.00282298	0.004550178	0.008986498	0.001781931	0.2535441	0.01260246	0.009801288	0.1216325	0.0005379196	0.01134122	0.1074354
5400	-240.528	-270.257	29.7287	0.1134461	0.1420747	0.1962199	0.003844243	0.02400417	0.009032681	0.004699938	0.01711104	0.001350801	0.2038413	0.004711943	0.004224767	0.09172107	0.008189185	0.01456777	0.07111077
5500	-241.36	-263.672	22.3124	0.4099691	0.08788825	0.1464584	0.005513015	0.0315899	0.0008969129	0.00484158	0.01204072	0.0008835707	0.1794181	0.00281391	0.008212639	0.2183348	0.00130448	0.01486384	0.1559385
5600	-237.568	-268.334	30.7652	0.1513477	0.1705444	0.05118024	0.002204074	0.03097089	0.005439987	0.0003510163	0.009462775	0.006116234	0.1235345	0.01334795	0.0001757322	0.1778218	0.007547217	0.002548973	0.1057348
5700	-240.756	-268.322	27.5656	0.3308408	0.1008739	0.1041976	0.008426216	0.03409957	0.01520764	2.988555e-05	0.01422513	0.001015958	0.2510866	0.01021846	0.002731839	0.09762742	0.004209304	0.002504656	0.04101057
5800	-244.24	-273.846	29.6055	0.09604157	0.2188476	0.1658764	0.0004273014	0.03938848	0.004722764	0.004225311	0.006973273	0.002051669	0.1345156	0.007088434	0.01633367	0.1220181	0.02782518	0.002205389	0.06776789
5900	-241.721	-263.998	22.2764	0.3272343	0.05674625	0.2282299	0.001900565	0.0281736	0.008893154	0.002209813	0.009225819	0.0008037088	0.1073172	0.01337037	0.001987079	0.2564232	0.00532294	0.003951169	0.2309746
6000	-238.881	-266.44	27.5598	0.1480819	0.199297	0.1380435	5.135994e-05	0.02072395	0.002681288	0.0003340607	0.008495024	0.002377894	0.1474097	0.01673278	0.01673157	0.1586846	0.01924161	0.005497224	0.134212
6100	-236.04	-265.812	29.7715	0.2048681	0.1385502	0.08834953	0.005392434	0.02381478	0.008390802	0.001602568	0.009017421	0.003137908	0.2001916	0.01654114	0.0004118047	0.1027392	0.00575563	0.003497817	0.09574935
6200	-243.696	-268.234	24.5381	0.2818252	0.1030518	0.128125	3.216962e-05	0.03480823	0.004475943	0.0003432743	0.0193394	0.002554632	0.1898109	0.006456338	0.004331888	0.1847285	0.02463248	0.002131536	0.1830336
6300	-239.312	-260.96	21.6486	0.1630453	0.1608036	0.07702055	0.001343127	0.03383032	0.005845423	2.137116e-05	0.01373644	0.001650955	0.3311523	0.01455601	0.002090596	0.3094215	0.004210918	0.003069228	0.1923564
6400	-236.54	-262.34	25.7999	0.2262564	0.3319848	0.1893258	0.003730446	0.03045622	0.001144506	0.001716367	0.0118718	0.002051824	0.07469792	0.008287703	0.01173748	0.1093462	9.332771e-05	0.010515	0.09337328
6500	-242.357	-271.82	29.4627	0.06220554	0.1738081	0.1443407	0.003122636	0.02313949	0.007799562	0.001249953	0.01620341	0.001784977	0.1290253	0.0007071102	0.01101477	0.2075286	0.006593364	0.01789437	0.117031
6600	-243.585	-261.866	18.2814	0.2281723	0.4009294	0.1028554	0.01066718	0.03417928	0.003961236	0.0009204466	0.007639931	0.002582891	0.3615818	0.01368599	0.007887737	0.1578191	0.001383035	0.003517884	0.144733
6700	-239.741	-263.916	24.1758	0.2359884	0.2465312	0.02209123	0.003436312	0.02233337	0.01401205	5.522768e-05	0.01239176	0.00136105	0.1973831	0.02158767	0.002575674	0.2225127	0.001892123	0.002117334	0.1815286
6800	-240.382	-269.522	29.1404	0.204517	0.08342712	0.1238605	3.82736e-05	0.02927976	0.005957327	0.006532851	0.01316154	0.006517549	0.09721489	0.006233039	0.006537257	0.1980267	0.00916194	0.001831837	0.1472669
6900	-243.476	-268.873	25.3969	0.1437019	0.1882366	0.4228091	0.001255882	0.02250746	0.004311268	0.01028241	0.01179693	0.001255787	0.143579	0.003725068	0.004625093	0.06552162	0.02018339	0.01463635	0.06831162
7000	-246.228	-273.536	27.3088	0.1723958	0.1344632	0.0759277	0.00810037	0.01979776	0.006964466	0.0004298889	0.008543197	0.005154691	0.1059195	0.005616004	0.01221781	0.2591347	0.008955167	0.003515369	0.2040078
7100	-252.973	-274.751	21.7779	0.1960349	0.2207781	0.06692092	0.005735222	0.03013458	0.002206928	0.002312561	0.007983248	0.006543667	0.1644384	0.01869661	0.005051762	0.4077164	0.009401628	0.002063863	0.1616738
7200	-235.804	-265.578	29.7738	0.112202	0.1568184	0.1889986	0.002065766	0.02913427	0.008940245	0.005013294	0.0129531	0.001280579	0.04107859	0.0004482724	0.001192741	0.1760872	0.01220177	0.006928366	0.1525506
7300	-245.459	-264.736	19.2769	0.1647813	0.2140171	0.2557167	4.716319e-05	0.03300707	0.002912514	0.001075249	0.009683617	0.003682647	0.3114398	0.02855537	0.00787811	0.2045724	0.006963583	0.01065452	0.1777542
7400	-239.62	-264.245	24.625	0.1378209	0.438437	0.1030825	0.00270767	0.02684576	0.009138137	0.002228175	0.009987226	0.0006231137	0.0837084	0.04226299	0.001463595	0.1694639	0.008053144	0.002845825	0.1266659
7500	-235.969	-263.769	27.8	0.08103235	0.2134905	0.07372097	0.003407193	0.02925722	0.001144875	0.003155184	0.01205207	0.00110891	0.2032134	0.001217642	0.02121554	0.2001508	0.0006568549	0.003481381	0.1582831
7600	-240.173	-264.018	23.8451	0.2560075	0.2568581	0.2550839	0.003809023	0.02134406	0.006734988	0.0003915824	0.009620039	0.001838925	0.07451474	0.01794607	0.003448352	0.186863	0.01142168	0.002103219	0.09634513
7700	-248.85	-273.437	24.5869	0.2345532	0.08462974	0.3269462	0.01494916	0.02572346	0.003828986	0.0009302028	0.004048556	0.007734741	0.2023879	0.006791084	0.01412687	0.144682	0.001139819	0.002960179	0.09181086
7800	-243.713	-266.263	22.5504	0.1037991	0.1363936	0.08089369	0.003907234	0.03074067	0.008855154	0.000508026	0.01218757	0.00243368	0.130451	0.01042399	0.003101482	0.4630351	0.0064304	0.007676621	0.2682308
7900	-238.057	-267.225	29.1686	0.1863118	0.1202677	0.07148115	0.00206249	0.02481716	0.009782321	0.002513305	0.009800229	0.002584652	0.238143	0.01596244	0.006092743	0.151736	0.005153401	0.0003717122	0.09107556
8000	-235.316	-262.092	26.7767	0.3219097	0.1299042	0.1113811	0.004865058	0.02182886	0.0009097579	0.004872845	0.008103912	0.001849469	0.2081668	0.001705526	0.0151557	0.1228765	0.0004830948	0.008289423	0.09544905
8100	-244.174	-265.362	21.1888	0.1262968	0.1765697	0.512209	0.005277056	0.02403971	0.006341943	0.00365118	0.007479784	0.004196196	0.1357326	0.009742795	0.003330762	0.165914	0.00755642	0.003325265	0.1454834
8200	-240.735	-268.024	27.2892	0.2309431	0.08816917	0.2375228	0.002336604	0.02770686	0.003968572	0.001173655	0.01095923	0.002403609	0.09083503	0.01634827	0.01037815	0.1452428	0.008294115	0.01180487	0.1440374
8300	-240.101	-264.521	24.42	0.06219335	0.1266099	0.2500077	0.004627904	0.02651184	0.006083137	0.003627763	0.009899026	0.0006874719	0.2778505	0.004314274	0.000297239	0.204465	0.007421208	0.009233181	0.1817543
8400	-238.048	-265.601	27.5532	0.07718138	0.3021605	0.08411458	0.0002522443	0.03223099	0.003731011	0.002111936	0.01239776	0.001310346	0.2985819	0.0149811	0.0009689579	0.09833137	0.0070553	0.01758464	0.06593099
8500	-245.14	-266.345	21.2045	0.2849065	0.2413432	0.3051733	0.005445125	0.02142635	0.008483816	0.007295907	0.0105944	0.000404363	0.2133733	0.01284113	0.01018984	0.111243	0.0112123	0.003232041	0.08919379
8600	-241.936	-268.412	26.4759	0.324824	0.2357292	0.050658	0.0008721454	0.02943771	0.01260965	0.01521093	0.008990375	0.001273141	0.113086	0.0009864568	0.004423878	0.1650168	0.004161553	0.006321754	0.09918845
